x,y
1.081431123230374247e+01,2.050432987656489203e+01
2.220173984058791916e+01,3.006964145742306371e+01
2.989455604763753982e+01,1.152143677220131224e+01
3.041011715536111026e+01,1.406790482277140875e+01
1.532081200798659104e+01,5.391155683052810232e+00
1.223784291295718418e+00,6.302754088494416429e+00
3.877464331910604467e-02,2.179921104641727680e+01
2.515267723879905759e+01,2.826916171944724354e+01
1.324506709547527450e+01,6.819178375642503731e+00
9.521009171806726457e+00,1.506969427701111863e+00
8.226811057856133758e+00,1.228779521224500471e+01
7.092420817880017658e+00,8.745235819690936552e+00
1.052490118563346044e+01,3.798050892599451167e+00
2.917658224126706656e+01,9.116758211201348772e+00
2.090253619514308880e+01,2.128814033095096647e+01
7.506437770429716494e+00,2.720295038744333027e+01
8.907743247589896995e+00,6.572955559218026655e-01
2.896055401754649949e+01,3.736362579359722602e+00
9.886864313257438752e+00,2.802883072458271130e+01
1.141598818484981015e+00,7.349334467816468042e+00
9.757880718003468346e+00,2.127316557967122179e+01
2.554578572518495605e+01,6.798058015992832992e+00
2.690940259764140663e+01,1.363555395924547042e+01
3.110778658342830738e+01,2.586245212751369849e+01
1.095755907007929686e+01,1.797536949667348694e+01
9.266432196320440795e+00,2.531451909457472027e+01
2.982829455751606673e+01,1.809774626521936014e+01
3.110131167031740773e+01,2.330204014363855336e+01
2.262482288214678761e+01,2.326873101841584912e+01
8.132667492321001390e+00,8.931332893563943998e+00
1.279560275837352457e+01,1.627589498029667681e+01
1.892302107330421990e+01,1.834415392460503114e+01
8.088646608705724717e+00,1.503805377628251527e+01
3.675483505709504772e-01,3.270693894685158654e+01
2.766005382756834052e+01,2.387272822623588908e+01
2.595512110914419068e+01,7.727581567120666683e+00
5.119871890959653449e+00,1.030673638841125062e+01
1.203791865148255269e+01,4.402139090320090986e+00
1.396994285656095158e+01,2.447129345544132306e+01
4.561765039716345171e+00,3.948310981083019477e+00
3.118117068884879384e+00,2.237565670725122047e+01
4.174152434787075983e+00,3.005067445029343975e+00
4.701110395606438175e-01,2.063886801772202073e+00
6.149512999325261298e+00,2.404591927419439301e+01
1.072844791640666173e+01,1.267491679040526620e+01
1.298217531255798995e+01,2.188181090236478354e+01
2.087589176411838920e+01,2.507901804050084138e+01
3.310599358916914525e+01,1.476979362605383095e+01
9.285426495853763562e-01,2.945343548023122082e+01
2.930987234504677730e+01,1.241533489576918114e+00
4.081308053223684951e+00,2.207268905723255159e+01
2.213539458127336346e+01,3.283015465148358292e+00
1.914669596100136317e+01,2.312540255939605416e+01
2.824149130694530996e+01,6.543892420753424588e+00
4.143645559927823463e+00,2.583278328914828847e+01
2.956102863056983221e+00,1.979943730296315962e+01
1.207934149017518344e+01,1.784240299989222622e+00
2.713317847862423449e+01,2.639427945090415051e+01
2.809203419141889668e+01,2.030574091993514330e+01
1.706746018045505764e+01,2.495880780506078978e+01
3.067379661118188849e+01,2.054208020894191478e+01
1.934107942823824544e+01,8.616408937240308319e+00
3.284685683751003893e+01,1.859922551048082795e+01
1.561924054079332258e+01,2.144099439356953241e+01
3.027597618282145575e+01,1.695565917043771975e+01
1.040135002184168478e+01,2.901377012012226686e+01
1.910118876619539563e+01,2.690866445324304479e+01
2.733121305722110961e+01,3.034250428984432801e+01
2.486906581124937787e+01,1.686131525845407708e+01
3.443971980375383435e+00,3.094212526264600172e+01
1.047229397210858615e+01,6.530135341776379221e+00
8.675764251862057463e+00,2.448603297615618501e+01
1.023926947382867070e+01,7.512135523578667318e+00
2.363191717349324605e+01,1.461366405525199141e+01
9.187163787265362203e+00,1.471861346885190969e+01
2.469549922181658630e+01,2.571476945787495794e+01
3.419891788433033319e+00,5.318585406267817284e-01
2.355435442637577736e+01,2.889693477602209626e+00
2.144125949735159242e+00,1.632787177599880124e+01
9.797655575414919937e+00,3.028153166927262774e+00
2.144517535374099637e+01,1.268184437566602085e+01
1.551099919031213936e+01,7.968312060449323830e+00
1.304197789447393596e+01,4.132567049280189586e+00
8.613825434719254659e+00,1.892176636571711867e+01
3.109207377223877700e+01,3.133420333553879544e+01
1.683872329676370327e+01,2.804739352389486129e+01
1.229523396920710532e+01,1.540210084127324741e+01
3.094140541197289451e+01,3.234184615335105661e+01
4.447172077279011759e+00,5.181103771979709283e-01
3.272200393491876014e+01,4.412153284948794330e+00
1.547269348753783547e+01,1.310496391810293915e+01
1.812283355681890740e+01,1.300833922659622388e+01
1.987635596997784759e+01,1.482394813109081966e+01
3.257393331530757763e+01,1.566171058840796171e+01
1.919368401378391198e+01,2.296243378782870881e+00
1.173230070922864954e+01,1.296072812562411691e+01
2.152795792260647190e+01,3.096123511278390694e+01
1.722083354840667724e+01,5.279952529472120570e-01
1.580243520521347200e+01,2.257116631940791862e+01
2.945889500987611243e+01,1.448404552046181948e+01
3.162159459876011169e+01,1.985085642137967810e+01
1.139467609788868607e+01,1.001313234297842847e+01
1.538070764517868838e+00,2.203162400916928387e+00
1.848191748282630087e+01,2.599478715566527143e+01
2.731698640845497295e+01,1.742699069476008589e+01
3.217500984036662715e+01,1.780469526218905196e+00
2.652402862773735137e+01,1.001590039405450883e+00
1.911679544324370994e+01,5.437132900007758174e+00
5.366085247348379106e+00,1.759473098034145977e+01
2.746309817556140676e+00,9.300916956533232138e+00
6.550702709477744801e-01,1.834157055541323800e+01
2.155575604886244534e+01,2.758467100846361575e+01
2.462925937379464614e+01,3.081394680476555514e+00
6.423262837303703954e+00,2.305223574873324210e+01
2.815061473235721223e+01,9.100826639923830896e+00
2.053915515891837629e+01,2.034242249328204011e+01
1.368276387835120467e+01,1.128021956434308493e+01
2.147841500514419621e+01,1.798308227027808570e+01
3.008714786920419471e+01,2.571666473294400745e+01
6.557915969477158491e+00,1.977930131874837683e+00
1.645019620268350025e+01,1.573443159010061443e+01
1.827591230472545902e+01,2.928982609346451493e+00
8.053606571598843189e+00,1.804051849449543354e+01
1.805028408407635254e+01,2.075741906970836936e+01
1.601498904270187751e+01,2.739020516020003981e+01
2.389373636653784061e+01,1.733600922043886072e+01
1.030206718802369004e+01,3.171557301180513377e+01
4.978077422036508715e+00,2.839677070516638224e+01
3.175076183788164919e+00,1.623685501523973684e+01
2.601696109346476860e+01,5.189746805363244953e+00
2.108599876336555212e+00,4.960858509247789705e+00
2.342320910263789813e+01,2.084019183928744567e+01
2.882089737167706289e+01,2.830976388953203227e+01
1.384700012124849522e+01,3.216782595690695956e+01
1.587033777159818548e+01,3.043424988842220813e+01
6.535935174644528445e+00,2.051493608590764950e+01
2.645543910370363960e+01,1.106872812435170594e+01
3.768744036300700095e+00,2.489600820754015231e+01
3.008196687910873379e+01,2.318943382249413432e+01
1.035215611850271067e+01,1.700038490260229551e+01
1.852116980907654664e+01,6.240524862168725484e+00
4.823949564571715420e+00,7.466175468278656524e+00
8.661792791387801671e+00,2.188253373146356040e+01
1.254837190453345297e+00,2.422580829932814694e+01
1.656510303410856089e-01,2.439875556350770225e+01
1.288130375692084684e+01,2.941090464737997934e+01
2.215318645537701059e+01,6.538033099253737213e+00
8.371243645284259571e+00,5.117823540472055122e+00
2.239920748754766677e+01,5.985143524652909441e-01
7.117008936432747124e-01,2.100553474459746184e+01
1.313760197827864129e+00,3.234916161439328874e+01
2.343969834837452737e+01,5.436813165039549922e+00
2.563436552533319102e+01,1.928058986525961060e+01
2.415160014364591134e+01,1.302166795819858436e+01
1.673998202512506239e+01,8.116399876432241811e+00
2.923539100374522803e+01,6.239485608895523505e+00
3.736766375524205319e+00,2.844690567574625462e+01
2.893432194587523298e+01,1.188417323123731251e+01
2.471291467360302008e+01,3.079660792906040712e+01
3.239855691592615727e+01,1.199460639313395838e+01
6.822749232930931385e+00,2.646309590694845681e+01
1.638285450625743778e+01,4.890549720480990459e+00
2.730768962991357540e+01,2.482584584235116054e+01
1.566716209469066179e+01,1.875532615988695895e+01
