r,g_r
8.296541394999648600e-03,0.000000000000000000e+00
2.488962418499894580e-02,0.000000000000000000e+00
4.148270697499824300e-02,0.000000000000000000e+00
5.807578976499754020e-02,0.000000000000000000e+00
7.466887255499683740e-02,0.000000000000000000e+00
9.126195534499613460e-02,0.000000000000000000e+00
1.078550381349954318e-01,0.000000000000000000e+00
1.244481209249947290e-01,0.000000000000000000e+00
1.410412037149940123e-01,0.000000000000000000e+00
1.576342865049933373e-01,0.000000000000000000e+00
1.742273692949926067e-01,0.000000000000000000e+00
1.908204520849919317e-01,0.000000000000000000e+00
2.074135348749912011e-01,0.000000000000000000e+00
2.240066176649905261e-01,0.000000000000000000e+00
2.405997004549897955e-01,0.000000000000000000e+00
2.571927832449891205e-01,0.000000000000000000e+00
2.737858660349883899e-01,0.000000000000000000e+00
2.903789488249877149e-01,0.000000000000000000e+00
3.069720316149869843e-01,0.000000000000000000e+00
3.235651144049863093e-01,0.000000000000000000e+00
3.401581971949855787e-01,0.000000000000000000e+00
3.567512799849849037e-01,0.000000000000000000e+00
3.733443627749841731e-01,0.000000000000000000e+00
3.899374455649834981e-01,0.000000000000000000e+00
4.065305283549827675e-01,0.000000000000000000e+00
4.231236111449820925e-01,0.000000000000000000e+00
4.397166939349813619e-01,0.000000000000000000e+00
4.563097767249806869e-01,0.000000000000000000e+00
4.729028595149799563e-01,0.000000000000000000e+00
4.894959423049792813e-01,0.000000000000000000e+00
5.060890250949785507e-01,0.000000000000000000e+00
5.226821078849779312e-01,0.000000000000000000e+00
5.392751906749770896e-01,0.000000000000000000e+00
5.558682734649764701e-01,0.000000000000000000e+00
5.724613562549757395e-01,0.000000000000000000e+00
5.890544390449750090e-01,0.000000000000000000e+00
6.056475218349743894e-01,0.000000000000000000e+00
6.222406046249736589e-01,0.000000000000000000e+00
6.388336874149729283e-01,0.000000000000000000e+00
6.554267702049723088e-01,0.000000000000000000e+00
6.720198529949714672e-01,0.000000000000000000e+00
6.886129357849708477e-01,0.000000000000000000e+00
7.052060185749701171e-01,0.000000000000000000e+00
7.217991013649693866e-01,0.000000000000000000e+00
7.383921841549687670e-01,0.000000000000000000e+00
7.549852669449680365e-01,0.000000000000000000e+00
7.715783497349673059e-01,0.000000000000000000e+00
7.881714325249666864e-01,0.000000000000000000e+00
8.047645153149658448e-01,0.000000000000000000e+00
8.213575981049652253e-01,0.000000000000000000e+00
8.379506808949644947e-01,0.000000000000000000e+00
8.545437636849637641e-01,0.000000000000000000e+00
8.711368464749631446e-01,0.000000000000000000e+00
8.877299292649624141e-01,0.000000000000000000e+00
9.043230120549616835e-01,0.000000000000000000e+00
9.209160948449610640e-01,0.000000000000000000e+00
9.375091776349602224e-01,0.000000000000000000e+00
9.541022604249596029e-01,0.000000000000000000e+00
9.706953432149588723e-01,0.000000000000000000e+00
9.872884260049581417e-01,0.000000000000000000e+00
1.003881508794957522e+00,3.957647727048992259e+00
1.020474591584956681e+00,4.625177837376075907e+00
1.037067674374956061e+00,3.905899635326290031e+00
1.053660757164955442e+00,3.309392996106414131e+00
1.070253839954954600e+00,2.809042008151553915e+00
1.086846922744953980e+00,2.385019096833195018e+00
1.103440005534953361e+00,2.048055397036133929e+00
1.120033088324952519e+00,1.760397971078110801e+00
1.136626171114951678e+00,1.510227900008290325e+00
1.153219253904951280e+00,1.305051846960217921e+00
1.169812336694950439e+00,1.137395540791807935e+00
1.186405419484949597e+00,9.945870636719958968e-01
1.202998502274949200e+00,8.741904656828813902e-01
1.219591585064948358e+00,7.740742096405759387e-01
1.236184667854947516e+00,6.822376380428400999e-01
1.252777750644947119e+00,6.134134217355358132e-01
1.269370833434946277e+00,5.530699598786077420e-01
1.285963916224945436e+00,5.040306848708766552e-01
1.302556999014944816e+00,4.622874895102074277e-01
1.319150081804944197e+00,4.284234857545079489e-01
1.335743164594943355e+00,4.034204930084271390e-01
1.352336247384942736e+00,3.823880487146836260e-01
1.368929330174942116e+00,3.640681091047117124e-01
1.385522412964941275e+00,3.524815007915960696e-01
1.402115495754940433e+00,3.457112066203796297e-01
1.418708578544940035e+00,3.410078009684112121e-01
1.435301661334939194e+00,3.431982601932753729e-01
1.451894744124938352e+00,3.492384026128569907e-01
1.468487826914937955e+00,3.600980396486228585e-01
1.485080909704937113e+00,3.730184998465341240e-01
1.501673992494936272e+00,3.915196124220846063e-01
1.518267075284935874e+00,3.912482832030863555e-01
1.534860158074935033e+00,3.752161232199460739e-01
1.551453240864934191e+00,3.556094046029658062e-01
1.568046323654933571e+00,3.291549229493830886e-01
1.584639406444932952e+00,3.017441731039547381e-01
1.601232489234932110e+00,2.721782404363249919e-01
1.617825572024931491e+00,2.440817183784592670e-01
1.634418654814930871e+00,2.182888410137207302e-01
1.651011737604930030e+00,1.949512731185429892e-01
1.667604820394929188e+00,1.704139280014081714e-01
1.684197903184928791e+00,1.497741155417088299e-01
1.700790985974927949e+00,1.304989791333645843e-01
1.717384068764927108e+00,1.148144682102279213e-01
1.733977151554926710e+00,9.959974213215531946e-02
1.750570234344925868e+00,8.682069597783145798e-02
1.767163317134925027e+00,7.582147466548315451e-02
1.783756399924924629e+00,6.623972472062872319e-02
1.800349482714923788e+00,5.691908836666829258e-02
1.816942565504922946e+00,5.002540729626808735e-02
1.833535648294922327e+00,4.340767432512550317e-02
1.850128731084921707e+00,3.778381170959346780e-02
1.866721813874920866e+00,3.275247451822204531e-02
1.883314896664920246e+00,2.843979642125644275e-02
1.899907979454919627e+00,2.463479439148009292e-02
1.916501062244918785e+00,2.131369926729672140e-02
1.933094145034917943e+00,1.918974182169763329e-02
1.949687227824917546e+00,1.606167304500627155e-02
1.966280310614916704e+00,1.412275154092752436e-02
1.982873393404915863e+00,1.227253754985558644e-02
1.999466476194915465e+00,1.050375076041763257e-02
2.016059558984914624e+00,9.590689969890035804e-03
2.032652641774913782e+00,8.128777005277377718e-03
2.049245724564912940e+00,7.088078152196752857e-03
2.065838807354912543e+00,6.142639358632454548e-03
